noiseStandardDeviationNT,averageNT,min,max,noiseStandardDeviationT,averageT,Signal,SNR,Probability
24.9,20640,20586,20696,2013.1,42617,21977,3.49,3.09

No.,dataNT,dataT
1,20596,44179
2,20596,44179
3,20596,44276
4,20586,44212
5,20586,44212
6,20586,44212
7,20621,44138
8,20621,44138
9,20621,44138
10,20634,44646
11,20634,44544
12,20634,44544
13,20636,44544
14,20626,44777
15,20624,45663
16,20624,45637
17,20624,45637
18,20636,45637
19,20636,45360
20,20636,45161
21,20607,45278
22,20607,45168
23,20607,45101
24,20607,45101
25,20607,45101
26,20607,45104
27,20607,45104
28,20636,45104
29,20636,45050
30,20636,45126
31,20686,45126
32,20686,45126
33,20686,45191
34,20640,45191
35,20640,45191
36,20640,44867
37,20628,44867
38,20628,44867
39,20628,44504
40,20621,44504
41,20621,44504
42,20621,43347
43,20649,42418
44,20649,42391
45,20649,42391
46,20625,42391
47,20625,42370
48,20625,42370
49,20649,42370
50,20649,41704
51,20649,41974
52,20650,42101
53,20650,41884
54,20650,41726
55,20650,41726
56,20638,41726
57,20638,41707
58,20638,41707
59,20651,41707
60,20651,41715
61,20651,41715
62,20655,41715
63,20655,41464
64,20655,41464
65,20666,41464
66,20659,41142
67,20659,41142
68,20659,41142
69,20691,41142
70,20691,41049
71,20691,41049
72,20641,41049
73,20641,40773
74,20641,40620
75,20641,40620
76,20665,40620
77,20665,40620
78,20665,40689
79,20654,40689
80,20654,40689
81,20654,40264
82,20633,40264
83,20617,40264
84,20617,40101
85,20617,40127
86,20677,40099
87,20665,40099
88,20645,40099
89,20624,40156
90,20648,40156
91,20618,40156
92,20638,40151
93,20645,40151
94,20645,40151
95,20645,40071
96,20655,40071
97,20696,40071
98,20696,39885
99,20696,39885
100,20649,39885
